userid	userip
234340	"222.64.209.104"
266737	"58.34.174.3"
286040	"218.79.93.193"
291926	"124.77.225.173"
306213	"58.247.251.26"
324191	"222.68.241.67"
362759	"118.26.196.154"
364660	"211.167.129.167"
383913	"58.247.5.34"
427029	"203.156.240.130"
433322	"222.71.49.144"
461718	"124.128.186.234"
469326	"58.37.130.76"
479105	"61.152.124.118"
487026	"58.37.201.98"
490192	"218.80.31.137"
493856	"218.80.79.253"
498164	"211.147.76.161"
517561	"219.133.37.254"
518118	"124.78.172.193"
520560	"218.64.77.172"
532673	"218.1.26.6"
533462	"124.77.11.87"
534446	"58.35.235.74"
539966	"202.101.8.194"
541643	"211.160.170.163"
542950	"219.233.64.203"
543872	"58.34.90.233"
548720	"165.241.10.208"
551437	"210.22.120.158"
556940	"57.72.22.63"
563837	"220.248.20.2"
564269	"218.82.244.197"
568837	"218.81.138.64"
569088	"61.173.0.114"
569630	"218.80.239.34"
570987	"218.242.140.20"
576403	"219.142.122.100"
577669	"61.169.117.129"
580513	"222.71.233.212"
581587	"218.1.91.158"
581960	"218.81.8.207"
584811	"61.173.8.206"
586237	"116.227.193.53"
587519	"218.82.129.112"
588115	"218.81.198.220"
588515	"210.72.200.146"
593999	"218.83.57.125"
598527	"222.67.189.36"
599202	"211.136.152.226"
599734	"61.129.65.61"
600913	"211.152.47.54"
602134	"116.230.204.235"
609505	"58.38.216.180"
610871	"58.35.253.43"
611376	"218.80.55.253"
613768	"219.143.207.4"
614256	"58.39.197.203"
614679	"218.81.247.223"
619492	"220.196.54.148"
620166	"220.234.171.209"
621077	"210.22.76.84"
621441	"58.34.143.177"
623673	"116.227.39.159"
624661	"58.37.60.129"
626840	"219.233.226.67"
628518	"60.55.123.75"
630849	"58.246.26.166"
630872	"165.72.200.11"
631572	"210.13.108.53"
631823	"222.68.182.4"
632685	"58.24.235.103"
633178	"58.246.87.150"
634361	"222.66.122.247"
634373	"220.207.151.160"
637594	"222.66.83.98"
640644	"222.70.231.50"
641226	"221.137.150.110"
641497	"222.72.96.168"
642377	"116.228.21.154"
642468	"202.158.181.144"
643032	"124.78.97.45"
643459	"116.224.246.70"
644419	"218.1.106.246"
